DATE,R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG
20190827,0.0087,-0.4614,-1.0911,0.2474,0.3136,0.5489
20190828,0.0087,0.6774,0.6855,0.1236,-0.2212,-0.4593
20190829,0.0087,1.3483,0.6220,-0.0913,0.0479,0.0408
20190830,0.0087,0.0331,-0.1758,0.0505,0.0576,-0.1523
20190903,0.0089,-0.8650,-0.9981,0.5303,-0.2013,-0.1523
20190904,0.0089,1.0846,-0.0458,-0.0324,0.0146,-0.4667
20190905,0.0089,1.4230,0.6967,0.2195,0.2994,0.5094
20190906,0.0089,-0.0189,-0.2094,0.4612,0.0215,-0.2462
20190909,0.0089,0.0744,1.8116,0.5302,0.3881,-0.6530
20190910,0.0089,0.1659,1.5595,0.2428,-0.5260,-0.6449
20190911,0.0089,0.8763,1.2359,0.1204,-0.4837,-0.5360
20190912,0.0089,0.2242,-0.4892,0.1546,0.0847,0.2725
20190913,0.0089,-0.0155,0.3636,0.0062,0.2727,0.0356
20190916,0.0089,-0.2307,0.9220,-0.3177,-0.6664,-0.2240
20190917,0.0089,0.1662,-0.9190,-0.2891,0.3436,0.0198
20190918,0.0089,-0.0470,-0.7953,0.0798,0.3223,0.2242
20190919,0.0089,-0.0527,-0.5706,-0.2152,-0.0898,-0.0138
20190920,0.0089,-0.4769,0.1340,-0.0839,-0.3795,-0.3200
20190923,0.0089,-0.0238,-0.0117,0.3017,0.0796,-0.1506
20190924,0.0089,-1.0067,-0.6228,0.3729,0.4587,-0.0724
20190925,0.0089,0.6957,0.5106,0.0313,0.5784,0.1603
20190926,0.0089,-0.4057,-0.9878,0.3573,0.2895,-0.0296
20190927,0.0089,-0.6175,0.1310,0.5690,0.4000,-0.0407
20190930,0.0089,0.5001,-0.2297,-0.1111,0.5024,0.4847
20191001,0.0067,-1.3099,-0.8028,-0.0433,0.4994,0.4897
20191002,0.0067,-1.7317,0.5996,-0.2519,-0.3094,0.0168
20191003,0.0067,0.7986,-0.5884,-0.3306,-0.4619,0.4802
20191004,0.0067,1.3860,-0.4029,-0.1239,0.2359,0.3973
